,Location,Price,Apt Type,Num of Bath,Neighborhood,District
5684,Spruce Street,"9,238",2 Bed,2,Financial District, Downtown Manhattan
5685,"226 East 95th Street, Apt 101","3,000",2 Bed,1.5,"Yorkville, Upper East Side", Upper Manhattan
5686,West End Avenue,"4,100",1 Bed,1,"Lincoln Square, Upper West Side", Upper Manhattan
5687,Third Ave,"7,465",3 Bed,2,"Turtle Bay, Midtown East", Midtown Manhattan
5688,West 31st Street,"5,625",1 Bed,1,Midtown South, Midtown Manhattan
5689,Wall Street,"3,300",Studio,1,Financial District, Downtown Manhattan
5690,West 37th Street,"3,290",Studio,1,Hudson Yards, Midtown Manhattan
5691,E 39th St,"3,950",Studio,1,Murray Hill, Midtown Manhattan
5692,West 37th Street,"4,000","1 Bed
/ Flex 2",1,Hudson Yards, Midtown Manhattan
5693,5th Avenue,"7,850",1 Bed,1,Greenwich Village, Downtown Manhattan
5694,Riverside Boulevard,"3,772",1 Bed,1,"Lincoln Square, Upper West Side", Upper Manhattan
5695,"221 West 105th Street, Apt 3RW...","2,400",1 Bed,1,"Manhattan Valley, Upper West Side", Upper Manhattan
5696,E.3rd St & Avenue B No-Fee,"3,195",1 Bed,1,"Alphabet City, East Village", Downtown Manhattan
5697,York Avenue,"6,795",3 Bed,2,"Yorkville, Upper East Side", Upper Manhattan
5698,"220 Cabrini Boulevard, Apt 3H","2,795",2 Bed,1,"Hudson Heights, Washington Heights", Upper Manhattan
5699,"81 St Marks Place, Apt 1E","3,778",1 Bed,1,East Village, Downtown Manhattan
5700,York Avenue,"2,595",1 Bed,1,Upper East Side, Upper Manhattan
5701,East 3rd Street,"3,499",2 Bed,1,Bowery, Downtown Manhattan
5702,East 24 Street,"3,300",Studio,1,"Rose Hill, Flatiron District", Midtown Manhattan
5703,East 24th Street,"3,300",Studio,1,"Rose Hill, Flatiron District", Midtown Manhattan
5704,Prince Street & Elizabeth St *...,"4,195",1 Bed,1,NoLita, Downtown Manhattan
5705,East 13th Street,"3,295",1 Bed,1,East Village, Downtown Manhattan
5706,East 86th Street,"8,009",2 Bed,2,"Yorkville, Upper East Side", Upper Manhattan
5707,Water Street,"3,425",Studio,1,Financial District, Downtown Manhattan
5708,East 78th Street and York Ave,"2,225",Studio,1,Upper East Side, Upper Manhattan
5709,"135 William Street, Apt 14B","7,395","3 Bed
/ Flex 5",2,Financial District, Downtown Manhattan
5710,West 54th Street,"3,859",1 Bed,1,Hell's Kitchen, Midtown Manhattan
5711,West 90th Street,"3,890",Studio,1,Upper West Side, Upper Manhattan
5712,East 89th Street,"2,800",1 Bed,1,"Carnegie Hill, Upper East Side", Upper Manhattan
5713,East 37th Street,"3,109",Studio,1,Murray Hill, Midtown Manhattan
5714,East 11 Street,"4,550",3 Bed,1,"Alphabet City, East Village", Downtown Manhattan
5715,"165 East 83rd Street, Apt 2E","3,100",1 Bed,1,Upper East Side, Upper Manhattan
5716,West 24th Street,"5,215",1 Bed,1,Flatiron District, Midtown Manhattan
5717,East 79th Street,"2,225",Studio,1,Upper East Side, Upper Manhattan
5718,East 54 Street,"5,771",2 Bed,1,"Sutton Place, Midtown East", Midtown Manhattan
5719,Cliff Street,"4,330",1 Bed,1,Financial District, Downtown Manhattan
5720,Avenue B,"3,900",2 Bed,1,"Alphabet City, East Village", Downtown Manhattan
5721,Avenue B,"3,900",2 Bed,1,"Alphabet City, East Village", Downtown Manhattan
5722,East 57th Street,"3,600",Studio,1,Midtown East, Midtown Manhattan
5723,West 139 Street,"2,700",3 Bed,1,"Hamilton Heights, West Harlem, Harlem", Upper Manhattan
5724,Mott Street,"4,295",1 Bed,1,NoLita, Downtown Manhattan
5725,Mott St,"4,495",1 Bed,1,NoLita, Downtown Manhattan
5726,East 14 Street,"2,495",Studio,1,East Village, Downtown Manhattan
5727,Wall Street,"4,330",Studio,1,Financial District, Downtown Manhattan
5728,East 7 Street,"6,995",4 Bed,1.5,East Village, Downtown Manhattan
5729,East 35th Street,"10,995",4 Bed,3,Murray Hill, Midtown Manhattan
5730,Wall Street,"4,039",1 Bed,1,Financial District, Downtown Manhattan
5731,East 80th Street,"1,950",Studio,1,"Yorkville, Upper East Side", Upper Manhattan
5732,East 27th Street,"2,695",Studio,1,"NoMad, Rose Hill", Midtown Manhattan
5733,East 46th Street,"3,200",1 Bed,1,"Turtle Bay, Midtown East", Midtown Manhattan
5734,Mulberry Street,"4,895",2 Bed,1,Little Italy, Downtown Manhattan
5735,Wall Street,"4,025",1 Bed,1,Financial District, Downtown Manhattan
5736,Exchange Place,"3,300",Studio,1,Financial District, Downtown Manhattan
5737,West 103rd Street,"3,495",2 Bed,1,"Manhattan Valley, Upper West Side", Upper Manhattan
5738,East 44th Street,"5,275",1 Bed,1,"Turtle Bay, Midtown East", Midtown Manhattan
5739,Second Avenue,"2,940",Studio,1,"Rose Hill, Kips Bay", Midtown Manhattan
5740,West 144 Street,"2,900",3 Bed,1,"Hamilton Heights, West Harlem, Harlem", Upper Manhattan
5741,East 80th Street,"2,275",1 Bed,1,"Yorkville, Upper East Side", Upper Manhattan
5742,Amsterdam Avenue,"2,600",Studio,1,"Manhattan Valley, Upper West Side", Upper Manhattan
5743,West 13th Street,"2,999",Studio,1,West Village, Downtown Manhattan
5744,East 13th Street,"3,295",1 Bed,1,East Village, Downtown Manhattan
5745,Sullivan Street,"2,700",Studio,1,SoHo, Downtown Manhattan
5746,East 14 Street,"2,395",Studio,1,East Village, Downtown Manhattan
5747,East 5 Street,"2,725",Studio,1,"Alphabet City, East Village", Downtown Manhattan
5748,East 13th Street,"3,295",1 Bed,1,East Village, Downtown Manhattan
5749,Sullivan Street,"2,700",Studio,1,SoHo, Downtown Manhattan
5750,"145 4th Avenue, Apt C","4,050","Studio
/ Flex 1",1,Greenwich Village, Downtown Manhattan
5751,East 48th Street,"5,725",2 Bed,2,"Turtle Bay, Midtown East", Midtown Manhattan
5752,"360 West 43rd Street, Apt S2M","5,295",2 Bed,2,Hell's Kitchen, Midtown Manhattan
5753,West 72nd Street,"2,800",Studio,1,Upper West Side, Upper Manhattan
5754,East 49th Street,"4,050",1 Bed,1,"Turtle Bay, Midtown East", Midtown Manhattan
5755,East 37th Street,"3,900",1 Bed,1,Murray Hill, Midtown Manhattan
5756,West 55th Street,"3,550",1 Bed,1,Midtown, Midtown Manhattan
5757,East 14 Street,"2,395",Studio,1,East Village, Downtown Manhattan
5758,East 79th Street,"6,300",2 Bed,2,"Yorkville, Upper East Side", Upper Manhattan
5759,Mott Street & Prince Street *N...,"4,395",1 Bed,1,NoLita, Downtown Manhattan
5760,East 49th Street,"4,100",1 Bed,1,"Turtle Bay, Midtown East", Midtown Manhattan
5761,East 13 Street,"5,195",3 Bed,1.5,East Village, Downtown Manhattan
5762,Water Street,"4,400",1 Bed,1,Financial District, Downtown Manhattan
5763,East 95th Street,"3,790",1 Bed,1,"Yorkville, Upper East Side", Upper Manhattan
5764,West 98th St & Broadway Electr...,"5,050",2 Bed,1.5,"Manhattan Valley, Upper West Side", Upper Manhattan
